task_id;title;owner_role;assignee;status;depends_on;input_refs;deliverable;acceptance;due_date
T01;Принять офис;HEAD;/root;DONE;;office/HANDOFF-TO-HEAD.md;office/HANDOFF-TO-HEAD.md;Управление принято по базе 9eca7cc с явными ограничениями;
T02;Определить границы и параметры бюджета;HEAD;/root;IN_PROGRESS;T01;office/project.json;office/project.json;"Польша и УТВ установлены; остальные параметры раскрываются на стадии требований";
T03;Назначить роли и программу специализации;HEAD;/root;DONE;T01;office/specialization-plan.md;office/agent-office.md|deliverables/O02/v001/00_office-launch.md;Для каждой требуемой роли есть исполнитель, граница и проверяющий;
T04;Организовать получение исходников и обследование;DESIGN;/root/naval_layout;IN_PROGRESS;T03;HANDOFF.md|docs/08-open-questions-survey.md|documentation/README.md;Реестр требуемых документов и работ;"Каждый пробел имеет способ закрытия; план не назван обследованием";
T05;Проверить требования и системные интерфейсы;DESIGN;;TODO;T02|T03;data/spec-matrix.csv;Матрица применимости и интерфейсов;Источники/редакции и ответственные установлены без переносов из аналогов;
T06;Подтвердить WBS и ведомость количеств пилота;ESTIMATE;;TODO;T02|T04|T05|T11;data/office/spec-crosswalk.csv;Один прослеживаемый пакет количеств;Каждая пилотная строка имеет источник, единицу, состав и решение по пробелам;
T07;Собрать сравнимые предложения пилота;PROCUREMENT;;TODO;T06;data/office/quantities.csv;Реестр КП и сравнение;Сопоставлены исполнение, комплект, валюта, налог и поставка;
T08;Рассчитать пилот;ESTIMATE;;TODO;T07;data/office/quotes.csv;Воспроизводимый расчёт и хендоф проверяющему;"Источники, единицы, суммы и открытые вопросы приложены; проверка не присвоена автором";
T09;Независимо проверить пилот;REVIEW;;TODO;T08;templates/review.md|data/office/estimate.csv;Независимый протокол и проверка исправлений;"Проверяющий не автор расчёта; охват и фактические проверки указаны; влияющие замечания переданы начальнику";
T10;Решить о выпуске и дальнейшем охвате;HEAD;;TODO;T09;templates/release.md;Решение и план расширения;Точный комплект, версия, покрытие и дальнейшие задачи;
T11;Сопоставить премиальные цели с технической базой;DESIGN;;TODO;T02|T03;docs/16-premium-builder-specification.md|HANDOFF.md|data/spec-matrix.csv;Реестр целей и изменений состава с устойчивыми ID и источниками;"Цели PROVISIONAL отделены от установленного; охват новых требований указан отдельно от 73 исходных строк; обновлены интерфейсы и WBS";
O02;Сформировать и проверить последовательность работы офиса;HEAD;/root;DONE;;office/project.json|documentation/README.md|docs/16-premium-builder-specification.md;deliverables/O02/v001/00_office-launch.md;"Этапы и критерии перехода; цены и проект не утверждены";
O02-D;Первичный разбор планировки и порядка проектирования;DESIGN;/root/naval_layout;DONE;T01;office/project.json|documentation/README.md|docs/16-premium-builder-specification.md;deliverables/O02/v001/01_support/design/;"Проверенное чтение исходников; границы и последовательность";
O02-S;Первичная карта систем и последовательность интеграции;SYSTEMS;/root/systems;DONE;T01;office/project.json|documentation/README.md|docs/16-premium-builder-specification.md;deliverables/O02/v001/01_support/systems/;"Цели отделены от имеющегося; входы и интерфейсы";
O02-C;Определить входы этапов КП КАЦ УТВ;PROCUREMENT;/root/procurement_cost;DONE;T01;office/project.json|documentation/README.md|docs/16-premium-builder-specification.md;deliverables/O02/v001/01_support/commercial/;"Без полного пакета цен; разведка остановлена после уточнения";
O02-R;Независимо проверить план и первичный разбор;REVIEW;/root/independent_review;DONE;O02-D|O02-S|O02-C;office/project.json|documentation/README.md|docs/16-premium-builder-specification.md;deliverables/O02/v001/01_support/review/;"Проверены последовательность и ограничения; чужие выводы воспроизводимы";
O03;Собрать краткое задание владельца и карту исходных данных;DESIGN;/root/naval_layout;FIRST_DRAFT_READY;O02;office/project.json|documentation/README.md|docs/16-premium-builder-specification.md;deliverables/O02/v001/01_support/design/01_project-brief.md;"Первичная редакция проверена; открытые сценарии и геометрия требуют развития на следующем этапе";
